"Place","Median Household Income (Dollars)","Percent Foreign Born","Percent Living Below 200% Poverty Level","Percent Who Only Speak English at Home","Percent Who Speak Spanish at Home","Percent of Children Living in Poverty","All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)","Infant Mortality Rate (Per 1,000 live births)","Life Expectancy at Birth (Years)","Percent Unemployed","Percent of Adults Who Are Obese","Percent of Adults Who Currently Smoke","Percent of Low Birth Weight Babies Born","Percent of Population with a Disability","Tuberculosis Incidence Rate (Per 100,000 people)","All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)","Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)","Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)","Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Gonorrhea Rate (Per 100,000 People)","Homicide Rate (Age-Adjusted; Per 100,000 people)","Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)","Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)","Percent of High School Students Who Are Obese"
"Austin, TX",65738,17.53333333333333,11.85,68.73333333333332,23.766666666666666,4,168.4904761904762,169.06666666666666,6,78.68,8.825,26.369999999999997,16.85,8.333333333333332,10.64,5.757142857142856,745.0166666666665,97.63333333333335,21.371428571428574,2.3,10.2625,186.7,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,13.8
"Baltimore, MD",43137.4,7.7,32.525,90.76,3.9800000000000004,21.125,213.9,241.6,10.166666666666666,73.9,12.8,32.4,23.166666666666668,11.766666666666666,15.2,3.7,745.0166666666665,97.63333333333335,21.371428571428574,2.3,10.2625,186.7,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,13.8
"Boston, MA",56802.2,27.760000000000005,28.300000000000004,62.70000000000001,16.560000000000002,17.075,172.38333333333333,132.21428571428572,5.22,80.275,8.666666666666666,21.299999999999997,17.9,8.780000000000001,11.8,7.083333333333334,679.8,103.33333333333334,18.616666666666667,2.35,5.283333333333334,168.31428571428575,6.95,43,4.449999999999999,7.44,14.233333333333334
"Charlotte, NC",59567.33333333333,14.666666666666666,12.1,80.76666666666665,10.966666666666667,4.5,168.4904761904762,169.06666666666666,6.1499999999999995,78.68,8.825,26.54,15.54,9.666666666666668,10.64,5.757142857142856,745.0166666666665,97.63333333333335,21.371428571428574,2.3,10.2625,272.70000000000005,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,12.366666666666665
"Chicago, Il",48951,20.96,31.099999999999998,63.739999999999995,24.68,20.299999999999997,186.3,207.79999999999998,7.666666666666666,78,12.433333333333332,28,21.549999999999997,9.666666666666664,10.6,5.233333333333333,777.5333333333333,103.85,24.074999999999996,4.6,13.966666666666665,186.7,14.433333333333332,46.75,6.075,4.642857142857143,15
"Cleveland, OH",26287.2,4.84,47.125,87.6,7.859999999999999,34.3,218.3,342.4,6,73.6,18.633333333333333,26.369999999999997,16.85,8.333333333333332,19.46,5.757142857142856,1055.1333333333332,123,36.733333333333334,2.3,10.2625,186.7,25.699999999999996,40.54166666666667,6.899999999999999,4.642857142857143,13.8
"Columbus, OH",54372.33333333333,10.2,15.5,87.33333333333331,3.6666666666666665,5.85,200.45714285714286,208.9857142857143,10.314285714285713,74.8,8.825,32.56666666666667,27.983333333333334,10.549999999999999,11.940000000000001,5.814285714285713,970.9285714285713,97.63333333333335,32.75714285714285,2.3,17.128571428571426,311.70000000000005,13.371428571428572,61.81428571428572,10.633333333333333,12.857142857142856,24.466666666666665
"Dallas, TX",47921.200000000004,24.22,32.675000000000004,57.68,34.720000000000006,23,168.4904761904762,169.06666666666666,6,78.68,7.633333333333333,26.369999999999997,16.85,8.333333333333332,9.433333333333334,7.9399999999999995,745.0166666666665,97.63333333333335,21.371428571428574,2.3,10.2625,234.55,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,13.8
"Denver, CO",55125.200000000004,15.819999999999999,25.75,72.98,20.25,17.15,170.5142857142857,155.35714285714283,5.333333333333334,78.6,5.933333333333334,19,18.866666666666667,9.085714285714287,9.62,3.257142857142857,748.6857142857142,42.300000000000004,20.471428571428575,0.9333333333333333,10.2,210.07142857142856,6.37142857142857,35.65714285714286,8.928571428571427,7.1,12.6
"Detroit, MI",25653.600000000002,5.5,49.75,89.42000000000002,6.7,37.375,208.4,310.76,13.049999999999997,72.75,24.866666666666664,37.55,30.85,13.374999999999996,19.5,4.45,1008.7749999999999,97.63333333333335,30.599999999999998,2.3,43.43333333333333,186.7,42.75,57.45,12,4.642857142857143,21.43333333333333
