"Place","Median Household Income (Dollars)","Percent Foreign Born","Percent Living Below 200% Poverty Level","Percent Who Only Speak English at Home","Percent Who Speak Spanish at Home","Percent of 3 and 4 Year Olds Currently Enrolled in Preschool","Percent of Children Living in Poverty","Percent of High School Graduates (Over Age 18)","Percent of Households Whose Housing Costs Exceed 35% of Income","Percent of Population 65 and Over","Percent of Population Under 18","Percent of Population Uninsured","Total Population (People)","AIDS Diagnoses Rate (Per 100,000 people)","All Types of Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Bike Score","HIV Diagnoses Rate (Per 100,000 people)","HIV-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Heart Disease Mortality Rate (Age-Adjusted; Per 100,000 people)","Infant Mortality Rate (Per 1,000 live births)","Life Expectancy at Birth (Years)","Percent Unemployed","Percent of Adults 65 and Over Who Received Pneumonia Vaccine","Percent of Adults Who Are Obese","Percent of Adults Who Binge Drank","Percent of Adults Who Currently Smoke","Percent of Adults Who Meet CDC-Recommended Physical Activity Levels","Percent of High School Students Who Binge Drank","Percent of High School Students Who Currently Smoke","Percent of Low Birth Weight Babies Born","Percent of Population with a Disability","Persons Living with HIV/AIDS Rate (Per 100,000 people)","Rate of Laboratory Confirmed Infections Caused by Salmonella (Per 100,000 people)","Transit Score","Tuberculosis Incidence Rate (Per 100,000 people)","Walkability","All-Cause Mortality Rate (Age-Adjusted; Per 100,000 people)","Asthma Emergency Department Visit Rate (Age-Adjusted; Per 10,000)","Chlamydia Rate (Per 100,000 People)","Congenital Syphilis Rate (Per 100,000 Live Births)","Diabetes Mortality Rate (Age-Adjusted; Per 100,000 people)","Firearm-Related Emergency Department Visit Rate (Age-Adjusted; Per 10,000 people)","Firearm-Related Mortality Rate (Age-Adjusted; Per 100,000 people)","Gonorrhea Rate (Per 100,000 People)","Homicide Rate (Age-Adjusted; Per 100,000 people)","Lung Cancer Mortality Rate (Age-Adjusted; Per 100,000 people)","Motor Vehicle Mortality Rate (Age-Adjusted; Per 100,000 people)","Opioid-Related Unintentional Drug Overdose Mortality Rate (Age-Adjusted; Per 100,000 people)","Percent of Adults Who Received Seasonal Flu Shot","Percent of Children (Tested) Under Age 6 with Elevated Blood Lead Levels","Percent of High School Students Who Are Obese","Percent of High School Students Who Meet CDC-Recommended Physical Activity Levels","Pneumonia and Influenza Mortality Rate (Age-Adjusted; Per 100,000 people)","Primary and Secondary Syphilis Rate (Per 100,000 People)","Rate of Laboratory Confirmed Infections Caused by Shiga Toxin-Producing E-Coli (Per 100,000 people)","Suicide Rate (Age-Adjusted; Per 100,000 people)","Percent of Children Who Received Seasonal Flu Shot"
"Austin, TX",65738,17.53333333333333,11.85,68.73333333333332,23.766666666666666,48.766666666666666,4,17.933333333333334,21.166666666666664,8.7,22.766666666666666,13.75,1175675.3333333333,13.385714285714286,168.4904761904762,57,26.37857142857143,3.8964285714285714,169.06666666666666,6,78.68,8.825,64.51666666666667,26.369999999999997,18.2,16.85,45.300000000000004,14.133333333333333,8.274999999999999,8.333333333333332,10.64,753.0833333333335,12.940000000000001,51,5.757142857142856,69,745.0166666666665,97.63333333333335,650.1499999999999,16.330952380952382,21.371428571428574,2.3,10.2625,186.7,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,40.12,2.6857142857142855,13.8,21.25,14.042857142857141,17.299999999999997,1.1724999999999999,10.399999999999999,48.1
"Baltimore, MD",43137.4,7.7,32.525,90.76,3.9800000000000004,51.75999999999999,21.125,50.76,30.86666666666667,12.320000000000002,21.18,9.18,620550.4,62.8,213.9,56,82.96666666666667,20,241.6,10.166666666666666,73.9,12.8,65.66666666666666,32.4,18.2,23.166666666666668,68.46666666666667,12.4,7,11.766666666666666,15.2,2451.633333333333,28.666666666666668,57,3.7,69,745.0166666666665,97.63333333333335,650.1499999999999,16.330952380952382,21.371428571428574,2.3,10.2625,186.7,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,40.12,2.6857142857142855,13.8,21.25,14.042857142857141,17.299999999999997,1.1724999999999999,10.399999999999999,48.1
"Boston, MA",56802.2,27.760000000000005,28.300000000000004,62.70000000000001,16.560000000000002,59.080000000000005,17.075,47.12,32.04,10.600000000000001,16.633333333333336,4.1,656117.2,13.385714285714286,172.38333333333333,70,28.1,4.25,132.21428571428572,5.22,80.275,8.666666666666666,64.51666666666667,21.299999999999997,25.03333333333333,17.9,21.5,14.133333333333333,6.433333333333333,8.780000000000001,11.8,892.6999999999999,20.98,73,7.083333333333334,81,679.8,103.33333333333334,750.4285714285714,16.330952380952382,18.616666666666667,2.35,5.283333333333334,168.31428571428575,6.95,43,4.449999999999999,7.44,49.4,2.8600000000000003,14.233333333333334,20.4,15.166666666666668,33.400000000000006,1.1724999999999999,6.216666666666668,48.1
"Charlotte, NC",59567.33333333333,14.666666666666666,12.1,80.76666666666665,10.966666666666667,48.83333333333333,4.5,18.966666666666665,18.25,10.3,24.4,11.55,1033814.6666666666,21.849999999999998,168.4904761904762,57,36.68333333333333,3.8964285714285714,169.06666666666666,6.1499999999999995,78.68,8.825,61.85,26.54,15.683333333333334,15.54,50.96666666666667,15.733333333333333,11.399999999999999,9.666666666666668,10.64,497.6166666666667,12.940000000000001,51,5.757142857142856,69,745.0166666666665,97.63333333333335,848.9166666666669,16.330952380952382,21.371428571428574,2.3,10.2625,272.70000000000005,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,39.480000000000004,0.14,12.366666666666665,22.966666666666665,14.042857142857141,17.299999999999997,1.1724999999999999,10.399999999999999,48.1
"Chicago, Il",48951,20.96,31.099999999999998,63.739999999999995,24.68,57.040000000000006,20.299999999999997,46.980000000000004,32.45,11.425,21.840000000000003,14.659999999999998,2716312.2,20.96666666666666,186.3,70,39.099999999999994,5.1000000000000005,207.79999999999998,7.666666666666666,78,12.433333333333332,47.5,28,29,21.549999999999997,50.7,18.65,12.149999999999999,9.666666666666664,10.6,801.8333333333333,13.73333333333333,65,5.233333333333333,78,777.5333333333333,103.85,650.1499999999999,16.330952380952382,24.074999999999996,4.6,13.966666666666665,186.7,14.433333333333332,46.75,6.075,4.642857142857143,28.5,4.633333333333333,15,18.9,19.124999999999996,17.299999999999997,0.8333333333333333,6.65,64
"Cleveland, OH",26287.2,4.84,47.125,87.6,7.859999999999999,43.78,34.3,50.74,31.733333333333334,12.68,23.16,11.55,388884.4,13.385714285714286,218.3,51,26.37857142857143,3.8964285714285714,342.4,6,73.6,18.633333333333333,64.51666666666667,26.369999999999997,18.2,16.85,45.300000000000004,14.133333333333333,8.274999999999999,8.333333333333332,19.46,849,10.799999999999999,47,5.757142857142856,60,1055.1333333333332,123,650.1499999999999,16.330952380952382,36.733333333333334,2.3,10.2625,186.7,25.699999999999996,40.54166666666667,6.899999999999999,4.642857142857143,40.12,14.566666666666665,13.8,21.25,15.649999999999999,17.299999999999997,0.66,9.840000000000002,48.1
"Columbus, OH",54372.33333333333,10.2,15.5,87.33333333333331,3.6666666666666665,41.199999999999996,5.85,25.1,16.7,11.1,23.599999999999998,7.1,1249211,13.385714285714286,200.45714285714286,47,26.37857142857143,3.8964285714285714,208.9857142857143,10.314285714285713,74.8,8.825,72.73333333333333,32.56666666666667,19.150000000000002,27.983333333333334,47.9,14.133333333333333,8.274999999999999,10.549999999999999,11.940000000000001,753.0833333333335,9.066666666666666,31,5.814285714285713,41,970.9285714285713,97.63333333333335,753.2142857142858,16.330952380952382,32.75714285714285,2.3,17.128571428571426,311.70000000000005,13.371428571428572,61.81428571428572,10.633333333333333,12.857142857142856,38.81666666666668,2.7285714285714286,24.466666666666665,21.25,21.657142857142855,17.357142857142854,4.05,12.399999999999999,48.1
"Dallas, TX",47921.200000000004,24.22,32.675000000000004,57.68,34.720000000000006,42.739999999999995,23,44.339999999999996,26.26666666666667,9.68,26.94,23.42,2516236.2,16.4,168.4904761904762,44,34.080000000000005,3.8964285714285714,169.06666666666666,6,78.68,7.633333333333333,64.51666666666667,26.369999999999997,18.2,16.85,45.300000000000004,14.133333333333333,8.274999999999999,8.333333333333332,9.433333333333334,653.22,14,40,7.9399999999999995,46,745.0166666666665,97.63333333333335,644.3,16.330952380952382,21.371428571428574,2.3,10.2625,234.55,6.564285714285714,40.54166666666667,6.866666666666668,4.642857142857143,40.12,2.6857142857142855,13.8,21.25,14.042857142857141,12.75,2.2,10.399999999999999,48.1
"Denver, CO",55125.200000000004,15.819999999999999,25.75,72.98,20.25,58,17.15,45.36,24.416666666666668,10.925,20.900000000000002,13.02,664645.4,13.242857142857144,170.5142857142857,71,24.65714285714286,3.471428571428571,155.35714285714283,5.333333333333334,78.6,5.933333333333334,80.2166666666667,19,26.21666666666667,18.866666666666667,59.39999999999999,19.6,8.45,9.085714285714287,9.62,977.4285714285714,10.549999999999999,48,3.257142857142857,61,748.6857142857142,42.300000000000004,1001.5285714285715,0,20.471428571428575,0.9333333333333333,10.2,210.07142857142856,6.37142857142857,35.65714285714286,8.928571428571427,7.1,43.31666666666667,2.6857142857142855,12.6,22.9,14.042857142857141,21.299999999999997,2.442857142857143,17.014285714285712,39.2
"Detroit, MI",25653.600000000002,5.5,49.75,89.42000000000002,6.7,42.275,37.375,50.940000000000005,36.824999999999996,12.54,25.22,14.5,684099.6000000001,12.38,208.4,55,37.14,7.6,310.76,13.049999999999997,72.75,24.866666666666664,51.87499999999999,37.55,17.15,30.85,18.266666666666666,8.7,5.6,13.374999999999996,19.5,726.3000000000001,7.699999999999999,38,4.45,69,1008.7749999999999,97.63333333333335,650.1499999999999,16.330952380952382,30.599999999999998,2.3,43.43333333333333,186.7,42.75,57.45,12,4.642857142857143,25.725,2.6857142857142855,21.43333333333333,14.73333333333333,20.54,17.299999999999997,0.075,8.5,48.1
